in:index,in:seed,in:x,in:y,out:Building Area_Max,out:Radiation_Min,img,threeD
0,25,2,3,0.064102,900.070398,index0.png,index0.json
1,77,3,3,0.04902,1176.570455,index1.png,index1.json
2,35,4,2,0.069444,1081.436547,index2.png,index2.json
3,64,2,2,0.104166,686.390749,index3.png,index3.json
4,32,4,3,0.026042,1271.948025,index4.png,index4.json
5,65,3,3,0.052083,1082.773141,index5.png,index5.json
6,70,3,4,0.039682,1399.125778,index6.png,index6.json
7,9,2,3,0.04902,893.580687,index7.png,index7.json
8,80,2,4,0.052083,1097.764931,index8.png,index8.json
9,64,2,2,0.104166,686.390749,index9.png,index9.json
10,32,4,3,0.026042,1271.948025,index10.png,index10.json
11,9,2,3,0.04902,893.580687,index11.png,index11.json
12,9,2,3,0.04902,893.580687,index12.png,index12.json
13,9,3,3,0.032051,1116.326349,index13.png,index13.json
14,9,2,3,0.04902,893.580687,index14.png,index14.json
15,9,2,3,0.04902,893.580687,index15.png,index15.json
16,79,2,2,0.092592,689.537643,index16.png,index16.json
17,25,2,3,0.064102,900.070398,index17.png,index17.json
18,64,2,2,0.104166,686.390749,index18.png,index18.json
19,32,4,3,0.026042,1271.948025,index19.png,index19.json
20,64,2,2,0.104166,686.390749,index20.png,index20.json
21,9,2,3,0.04902,893.580687,index21.png,index21.json
22,79,2,2,0.092592,689.537643,index22.png,index22.json
23,79,2,2,0.092592,689.537643,index23.png,index23.json
24,9,3,3,0.032051,1116.326349,index24.png,index24.json
25,9,3,3,0.032051,1116.326349,index25.png,index25.json
26,9,2,3,0.04902,893.580687,index26.png,index26.json
27,25,2,3,0.064102,900.070398,index27.png,index27.json
